sample_size,num_attributes,num_fds,fd_density,minimal_cover_size,reduction_ratio,total_fd_sets,below_2nf_count,2nf_count,3nf_count,bcnf_count,below_2nf_rate,2nf_rate,3nf_rate,bcnf_rate
51,6,186,0.27419354838709675,7.0983,0.038162903225806455,30000,1933,0,2632,25435,0.06443333333333333,0.0,0.08773333333333333,0.8478333333333333
52,6,186,0.27956989247311825,7.0917,0.03812741935483871,30000,1828,0,2429,25743,0.06093333333333333,0.0,0.08096666666666667,0.8581
53,6,186,0.2849462365591398,7.0744,0.038034408602150536,30000,1724,0,2128,26148,0.057466666666666666,0.0,0.07093333333333333,0.8716
54,6,186,0.2903225806451613,7.073967,0.03803208064516129,30000,1668,0,1960,26372,0.0556,0.0,0.06533333333333333,0.8790666666666667
55,6,186,0.2956989247311828,7.067733,0.03799856451612903,30000,1538,0,1826,26636,0.05126666666666667,0.0,0.060866666666666666,0.8878666666666667
56,6,186,0.3010752688172043,7.299333,0.039243725806451614,60000,3032,0,3119,53849,0.05053333333333333,0.0,0.05198333333333333,0.8974833333333333
57,6,186,0.3064516129032258,7.060933,0.03796200537634409,30000,1464,0,1420,27116,0.0488,0.0,0.04733333333333333,0.9038666666666667
58,6,186,0.3118279569892473,7.059067,0.03795197311827957,30000,1357,0,1273,27370,0.045233333333333334,0.0,0.04243333333333334,0.9123333333333333
59,6,186,0.3172043010752688,7.067967,0.037999822580645166,30000,1276,0,1169,27555,0.04253333333333333,0.0,0.03896666666666666,0.9185
60,6,186,0.3225806451612903,7.08372,0.038084516129032256,20000,795,0,683,18522,0.03975,0.0,0.03415,0.9261
61,6,186,0.3279569892473118,7.062133,0.037968456989247314,30000,1168,0,930,27902,0.038933333333333334,0.0,0.031,0.9300666666666667
62,6,186,0.3333333333333333,7.0647,0.03798225806451613,30000,1090,0,800,28110,0.036333333333333336,0.0,0.02666666666666667,0.937
63,6,186,0.3387096774193548,7.067167,0.03799552150537635,30000,1045,0,767,28188,0.034833333333333334,0.0,0.025566666666666668,0.9396
64,6,186,0.34408602150537637,7.065533,0.03798673655913978,30000,941,0,622,28437,0.03136666666666667,0.0,0.020733333333333333,0.9479
65,6,186,0.34946236559139787,7.340517,0.03946514516129032,60000,1818,0,1210,56972,0.0303,0.0,0.020166666666666666,0.9495333333333333
66,6,186,0.3548387096774194,7.080067,0.03806487634408602,30000,833,0,531,28636,0.027766666666666665,0.0,0.0177,0.9545333333333333
67,6,186,0.3602150537634409,7.082933,0.03808028494623656,30000,750,0,482,28768,0.025,0.0,0.016066666666666667,0.9589333333333333
68,6,186,0.3655913978494624,7.086167,0.038097672043010754,30000,738,0,415,28847,0.0246,0.0,0.013833333333333333,0.9615666666666667
69,6,186,0.3709677419354839,7.083633,0.038084048387096774,30000,682,0,375,28943,0.022733333333333335,0.0,0.0125,0.9647666666666667
70,6,186,0.3763440860215054,7.086833,0.03810125268817204,30000,620,0,306,29074,0.020666666666666667,0.0,0.0102,0.9691333333333333
71,6,186,0.3817204301075269,7.100967,0.03817724193548387,30000,570,0,286,29144,0.019,0.0,0.009533333333333333,0.9714666666666667
72,6,186,0.3870967741935484,7.098733,0.0381652311827957,30000,563,0,204,29233,0.018766666666666668,0.0,0.0068,0.9744333333333334
73,6,186,0.3924731182795699,7.093933,0.03813942473118279,30000,500,0,222,29278,0.016666666666666666,0.0,0.0074,0.9759333333333333
74,6,186,0.3978494623655914,7.240444,0.03892711827956989,30000,468,0,189,29343,0.0156,0.0,0.0063,0.9781
75,6,186,0.4032258064516129,7.095167,0.038146059139784944,30000,439,0,173,29388,0.014633333333333333,0.0,0.0057666666666666665,0.9796
76,6,186,0.40860215053763443,7.083,0.038080645161290325,30000,354,0,165,29481,0.0118,0.0,0.0055,0.9827
77,6,186,0.41397849462365593,7.0832,0.038081720430107525,30000,360,0,136,29504,0.012,0.0,0.004533333333333334,0.9834666666666667
78,6,186,0.41935483870967744,7.077233,0.038049639784946236,30000,346,0,115,29539,0.011533333333333333,0.0,0.003833333333333333,0.9846333333333334
79,6,186,0.42473118279569894,7.070167,0.0380116505376344,30000,300,0,103,29597,0.01,0.0,0.0034333333333333334,0.9865666666666667
80,6,186,0.43010752688172044,7.059367,0.03795358602150538,30000,293,0,88,29619,0.009766666666666667,0.0,0.0029333333333333334,0.9873
81,6,186,0.43548387096774194,7.0511,0.037909139784946234,30000,255,0,55,29690,0.0085,0.0,0.0018333333333333333,0.9896666666666667
82,6,186,0.44086021505376344,7.042667,0.037863801075268814,30000,211,0,48,29741,0.007033333333333333,0.0,0.0016,0.9913666666666666
83,6,186,0.44623655913978494,7.037167,0.0378342311827957,30000,216,0,50,29734,0.0072,0.0,0.0016666666666666668,0.9911333333333333
84,6,186,0.45161290322580644,7.054557,0.03792772580645161,70000,436,0,103,69461,0.006228571428571429,0.0,0.0014714285714285714,0.9923
85,6,186,0.45698924731182794,7.0212,0.037748387096774194,30000,172,0,34,29794,0.005733333333333333,0.0,0.0011333333333333334,0.9931333333333333
86,6,186,0.46236559139784944,7.017933,0.03773082258064516,10000,45,0,11,9944,0.0045,0.0,0.0011,0.9944
87,6,186,0.46774193548387094,7.0166,0.0377236559139785,30000,145,0,28,29827,0.004833333333333334,0.0,0.0009333333333333333,0.9942333333333333
88,6,186,0.4731182795698925,7.012567,0.037701973118279566,30000,139,0,26,29835,0.004633333333333333,0.0,0.0008666666666666666,0.9945
89,6,186,0.478494623655914,7.008533,0.037680284946236556,30000,135,0,23,29842,0.0045,0.0,0.0007666666666666667,0.9947333333333334
90,6,186,0.4838709677419355,7.005633,0.0376646935483871,30000,115,0,17,29868,0.003833333333333333,0.0,0.0005666666666666667,0.9956
91,6,186,0.489247311827957,7.000933,0.03763942473118279,30000,92,0,10,29898,0.0030666666666666668,0.0,0.0003333333333333333,0.9966
92,6,186,0.4946236559139785,7.008933,0.037682435483870964,30000,94,0,7,29899,0.0031333333333333335,0.0,0.00023333333333333333,0.9966333333333334
93,6,186,0.5,7.111867,0.03823584408602151,30000,70,0,15,29915,0.0023333333333333335,0.0,0.0005,0.9971666666666666
94,6,186,0.5053763440860215,7.002833,0.03764963978494624,30000,62,0,10,29928,0.0020666666666666667,0.0,0.0003333333333333333,0.9976
95,6,186,0.510752688172043,7.0139,0.037709139784946236,30000,61,0,10,29929,0.002033333333333333,0.0,0.0003333333333333333,0.9976333333333334
96,6,186,0.5161290322580645,7.017733,0.03772974731182795,30000,49,0,7,29944,0.0016333333333333334,0.0,0.00023333333333333333,0.9981333333333333
97,6,186,0.521505376344086,7.013867,0.037708962365591396,30000,46,0,1,29953,0.0015333333333333334,0.0,3.3333333333333335e-05,0.9984333333333333
98,6,186,0.5268817204301075,7.0195,0.037739247311827956,30000,38,0,6,29956,0.0012666666666666666,0.0,0.0002,0.9985333333333334
99,6,186,0.532258064516129,7.031167,0.03780197311827957,30000,27,0,2,29971,0.0009,0.0,6.666666666666667e-05,0.9990333333333333
100,6,186,0.5376344086021505,7.035467,0.03782509139784946,30000,43,0,3,29954,0.0014333333333333333,0.0,0.0001,0.9984666666666666
101,6,186,0.543010752688172,7.0484,0.03789462365591398,30000,29,0,5,29966,0.0009666666666666667,0.0,0.00016666666666666666,0.9988666666666667
102,6,186,0.5483870967741935,7.1667,0.038530645161290324,40000,33,0,0,39967,0.000825,0.0,0.0,0.999175
103,6,186,0.553763440860215,7.073167,0.03802777956989247,30000,15,0,1,29984,0.0005,0.0,3.3333333333333335e-05,0.9994666666666666
104,6,186,0.5591397849462365,7.078867,0.038058424731182795,30000,17,0,1,29982,0.0005666666666666667,0.0,3.3333333333333335e-05,0.9994
105,6,186,0.5645161290322581,7.097333,0.03815770430107527,30000,21,0,2,29977,0.0007,0.0,6.666666666666667e-05,0.9992333333333333
106,6,186,0.5698924731182796,7.101233,0.03817867204301075,30000,16,0,2,29982,0.0005333333333333334,0.0,6.666666666666667e-05,0.9994
107,6,186,0.5752688172043011,7.1212,0.03828602150537634,30000,11,0,0,29989,0.00036666666666666667,0.0,0.0,0.9996333333333334
108,6,186,0.5806451612903226,7.134267,0.03835627419354839,30000,16,0,1,29983,0.0005333333333333334,0.0,3.3333333333333335e-05,0.9994333333333333
109,6,186,0.5860215053763441,7.131967,0.03834390860215054,30000,7,0,0,29993,0.00023333333333333333,0.0,0.0,0.9997666666666667
110,6,186,0.5913978494623656,7.1493,0.03843709677419355,30000,4,0,1,29995,0.00013333333333333334,0.0,3.3333333333333335e-05,0.9998333333333334
111,6,186,0.5967741935483871,7.1534,0.038459139784946236,30000,12,0,0,29988,0.0004,0.0,0.0,0.9996
112,6,186,0.6021505376344086,7.157314,0.038480182795698925,40000,4,0,0,39996,0.0001,0.0,0.0,0.9999
113,6,186,0.6075268817204301,7.171933,0.038558779569892475,30000,6,0,0,29994,0.0002,0.0,0.0,0.9998
114,6,186,0.6129032258064516,7.184033,0.038623833333333336,30000,4,0,1,29995,0.00013333333333333334,0.0,3.3333333333333335e-05,0.9998333333333334
115,6,186,0.6182795698924731,7.1852,0.03863010752688172,30000,6,0,0,29994,0.0002,0.0,0.0,0.9998
116,6,186,0.6236559139784946,7.1922,0.03866774193548387,30000,1,0,0,29999,3.3333333333333335e-05,0.0,0.0,0.9999666666666667
117,6,186,0.6290322580645161,7.2007,0.038713440860215054,30000,4,0,0,29996,0.00013333333333333334,0.0,0.0,0.9998666666666667
118,6,186,0.6344086021505376,7.208633,0.03875609139784946,30000,1,0,1,29998,3.3333333333333335e-05,0.0,3.3333333333333335e-05,0.9999333333333333
119,6,186,0.6397849462365591,7.213767,0.038783693548387094,30000,1,0,0,29999,3.3333333333333335e-05,0.0,0.0,0.9999666666666667
120,6,186,0.6451612903225806,7.214567,0.03878799462365591,30000,2,0,0,29998,6.666666666666667e-05,0.0,0.0,0.9999333333333333
121,6,186,0.6505376344086021,7.159225,0.038490456989247315,40000,1,0,0,39999,2.5e-05,0.0,0.0,0.999975
130,6,186,0.6989247311827957,7.20335,0.038727688172043015,40000,0,0,0,40000,0.0,0.0,0.0,1.0
140,6,186,0.7526881720430108,7.275925,0.03911787634408602,40000,1,0,0,39999,2.5e-05,0.0,0.0,0.999975
149,6,186,0.8010752688172043,7.1339,0.03835430107526881,40000,0,0,0,40000,0.0,0.0,0.0,1.0
158,6,186,0.8494623655913979,7.42442,0.039916236559139784,50000,0,0,0,50000,0.0,0.0,0.0,1.0
167,6,186,0.8978494623655914,8.13082,0.04371408602150537,50000,0,0,0,50000,0.0,0.0,0.0,1.0
177,6,186,0.9516129032258065,7.41046,0.03984118279569892,50000,0,0,0,50000,0.0,0.0,0.0,1.0
186,6,186,1.0,7.0,0.03763440860215054,40000,0,0,0,40000,0.0,0.0,0.0,1.0
1,7,441,0.0022675736961451248,0.979408,0.002220879818594104,120000,194,556,74635,44615,0.0016166666666666666,0.004633333333333333,0.6219583333333333,0.3717916666666667
2,7,441,0.0045351473922902496,1.915567,0.004343689342403628,60000,353,794,50482,8371,0.005883333333333333,0.013233333333333333,0.8413666666666667,0.13951666666666668
3,7,441,0.006802721088435374,2.7895,0.006325396825396825,60000,810,1347,54807,3036,0.0135,0.02245,0.91345,0.0506
4,7,441,0.009070294784580499,3.592017,0.008145163265306121,60000,1513,1914,55360,1213,0.025216666666666665,0.0319,0.9226666666666666,0.020216666666666668
5,7,441,0.011337868480725623,4.3582,0.009882539682539682,30000,1142,1058,27582,218,0.038066666666666665,0.03526666666666667,0.9194,0.007266666666666667
6,7,441,0.013605442176870748,5.053933,0.011460165532879818,60000,2773,2464,54564,199,0.04621666666666667,0.04106666666666667,0.9094,0.0033166666666666665
